DE SORTIS ARGONAUTI TRI | 19-04-2026 | Pisticci (Matera) | Basilicata | Triathlon Olimpico		Gold | 
DE SORTIS ARGONAUTI TRI | 19-04-2026 | Pisticci (Matera) | Basilicata | Triathlon Sprint		Silver | 
DIAMOND TRI & GRANDATRIATHLON 20°TRIATHLON SPRINT DEL ROERO | 02-06-2026 | Sommariva Perno (Cuneo) | Piemonte | Triathlon Sprint		BronzeGiovanile | 
DUATHLON DELL'ECOLOGIA | 29-03-2026 | Viterbo (Viterbo) | Lazio | Duathlon Sprint		Silver | 
DUATHLON NETIUM | 01-03-2026 | Binetto (Bari) | Puglia | Duathlon Kids		Giovanile | 
DUATHLON NETIUM | 01-03-2026 | Binetto (Bari) | Puglia | Duathlon Sprint		Silver Paratriathlon | 
DUATHLON NETIUM | 01-03-2026 | Binetto (Bari) | Puglia | Duathlon Super Sprint		Giovanile | 
DUATHLON SAN DAMIANO | 15-03-2026 | San Giorgio Piacentino (Piacenza) | Emilia-Romagna | Duathlon Sprint		Silver | 
DUATHLON SPRINT - SPORT IN FESTA 2026 | 21-06-2026 | Cesate (Milano) | Lombardia | Duathlon Sprint		Silver | 
DUATHLON SPRINT CITTÀ DI SANTENA | 29-03-2026 | Santena (Torino) | Piemonte | Duathlon Sprint		Silver | 
DUATHLON SPRINT DI BARZANO' | 22-02-2026 | Barzanò (Lecco) | Lombardia | Duathlon Sprint		Silver | 
DUATHLON SPRINT DI FORLÌ | 01-03-2026 | Forlì (Forlì) | Emilia-Romagna | Duathlon Kids		Giovanile | 
DUATHLON SPRINT DI FORLÌ | 01-03-2026 | Forlì (Forlì) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile | 
DUATHLON SPRINT DI FORLÌ | 01-03-2026 | Forlì (Forlì) | Emilia-Romagna | Duathlon Sprint		Silver | 
DUATHLON SPRINT DI PUNTA SECCA | 28-03-2026 | Santa Croce Camerina (Ragusa) | Sicilia | Duathlon Kids		Giovanile | 
DUATHLON SPRINT DI PUNTA SECCA | 28-03-2026 | Santa Croce Camerina (Ragusa) | Sicilia | Duathlon Sprint		Silver | 
DUATHLON SPRINT DI PUNTA SECCA | 28-03-2026 | Santa Croce Camerina (Ragusa) | Sicilia | Duathlon Youth		Giovanile | 
ELBA WEEKEND TRI | 18-04-2026 | Marciana (Livorno) | Toscana | Triathlon Olimpico		Silver | 
ELBA WEEKEND TRI | 18-04-2026 | Marciana (Livorno) | Toscana | Triathlon Sprint		Silver | 
EUROPE TRIATHLON JUNIOR CUP | 08-05-2026 | Caorle (Venezia) | Veneto | Triathlon Staffetta | 
EUROPE TRIATHLON JUNIOR CUP | 08-05-2026 | Caorle (Venezia) | Veneto | Triathlon Super Sprint | 
EUROPEAN TRIATHLON CUP CAORLE | 09-05-2026 | Caorle (Venezia) | Veneto | Triathlon Sprint | 
FESTA LAZIOTRI - DUATHLON PROMOZIONALE | 15-03-2026 | Roma (Roma) | Lazio | Duathlon Kids | 
FESTA LAZIOTRI - DUATHLON PROMOZIONALE | 15-03-2026 | Roma (Roma) | Lazio | Duathlon Youth | 
FITCENTER TRIATHLON SPRINT BISCEGLIE 2026 | 17-05-2026 | Bisceglie (Barletta) | Puglia | Triathlon Sprint		Silver | 
FREESTYLE CAMPIONATO REGIONALE DUATHLON DI CATEGORIA | 15-03-2026 | Ponte Buggianese (Pistoia) | Toscana | Duathlon Sprint		Silver | 
GALLIPOLI OLYMPIC TRIWAVE CAROLI EDITION | 03-05-2026 | Glipoli (Lecce) | Puglia | Triathlon Olimpico		Silver | 
GARGANO TRIATHLON SPRINT | 10-05-2026 | Manfredonia (Foggia) | Puglia | Triathlon Sprint		Bronze | 
GRAN PARADISO WINTER TRIATHLON | 24-01-2026 | Cogne (Aosta) | Valle d'Aosta/Vallée d'Aoste | WinterTriathlon Classico | 
GRAN PARADISO WINTER TRIATHLON | 24-01-2026 | Cogne (Aosta) | Valle d'Aosta/Vallée d'Aoste | WinterTriathlon Super Sprint		Giovanile | 
II° NEAPOLIS AQUATHLON | 27-06-2026 | Napoli (Napoli) | Campania | Aquathlon Classico | 
II° NEAPOLIS AQUATHLON | 27-06-2026 | Napoli (Napoli) | Campania | Aquathlon Kids | 
II° NEAPOLIS AQUATHLON | 27-06-2026 | Napoli (Napoli) | Campania | Aquathlon Super Sprint | 
IRON ISLAND HALF TRIATHLON - TRIATHLON OLIMPICO NO DRAFT | 26-04-2026 | Ragusa (Ragusa) | Sicilia | Triathlon Medio		Silver | 
IRON ISLAND HALF TRIATHLON - TRIATHLON OLIMPICO NO DRAFT | 26-04-2026 | Ragusa (Ragusa) | Sicilia | Triathlon Medio | 
IRON ISLAND HALF TRIATHLON - TRIATHLON OLIMPICO NO DRAFT | 26-04-2026 | Ragusa (Ragusa) | Sicilia | Triathlon Olimpico		Silver | 
IRON TOUR ROAD | 13-05-2026 | Capoliveri (Livorno) | Toscana | Triathlon Sprint		Silver | 
IRONLAKE MUGELLO - CAMPIONATO ITALIANO TRIATHLON MEDIO | 02-06-2026 | Barberino di Mugello (Firenze) | Toscana | Triathlon Medio		Gold | 
IRONMAN 70.3 ALGHERO | 07-06-2026 | Alghero (Sassari) | Sardegna | Triathlon Medio		Internazionale | 
IX DUATHLON SPRINT CITTÀ DI FOLIGNO - MEMORIAL DANILO PASCUCCI - DUATHLON YOUTH - DUATHLON KIDS | 08-03-2026 | Foligno (Perugia) | Umbria | Duathlon Kids		Giovanile | 
IX DUATHLON SPRINT CITTÀ DI FOLIGNO - MEMORIAL DANILO PASCUCCI - DUATHLON YOUTH - DUATHLON KIDS | 08-03-2026 | Foligno (Perugia) | Umbria | Duathlon Sprint		Silver | 
LATINA TRIATHLON SPRINT VII EDIZIONE "MEMORIAL FEDERICO SALVAGNI" | 10-05-2026 | Latina (Latina) | Lazio | Triathlon Sprint		Silver | 
LYKOS FOR OTHERS | 30-05-2026 | Pisogne (Brescia) | Lombardia | Aquathlon Atipico		Paratriathlon | 
LYKOS FOR OTHERS | 30-05-2026 | Pisogne (Brescia) | Lombardia | Triathlon Super Sprint		Paratriathlon | 
MANDELLO: TRIATHLON CROSS + AQUATHLON | 13-06-2026 | Mandello del Lario (Lecco) | Lombardia | Aquathlon		Giovanile | 
MANDELLO: TRIATHLON CROSS + AQUATHLON | 13-06-2026 | Mandello del Lario (Lecco) | Lombardia | Aquathlon Sprint		Bronze | 
MANDELLO: TRIATHLON CROSS + AQUATHLON | 13-06-2026 | Mandello del Lario (Lecco) | Lombardia | Triathlon Sprint MTB		Bronze | 
MANGIA'S TRIATHLON SICILY | 12-04-2026 | Sciacca (Agrigento) | Sicilia | Duathlon Kids		Giovanile Paratriathlon | 
MANGIA'S TRIATHLON SICILY | 12-04-2026 | Sciacca (Agrigento) | Sicilia | Duathlon Youth		Giovanile Paratriathlon | 
MANGIA'S TRIATHLON SICILY | 12-04-2026 | Sciacca (Agrigento) | Sicilia | Triathlon Sprint		Silver | 
MILANO DEEJAY TRI | 21-06-2026 | Segrate (Milano) | Lombardia | Triathlon Kids		Giovanile | 
MILANO DEEJAY TRI | 21-06-2026 | Segrate (Milano) | Lombardia | Triathlon Olimpico		Gold | 
MILANO DEEJAY TRI | 21-06-2026 | Segrate (Milano) | Lombardia | Triathlon Sprint		Gold | 
MILANO DEEJAY TRI | 21-06-2026 | Segrate (Milano) | Lombardia | Triathlon Youth		Giovanile | 
MILANOTRI - FOLLOWYOURPASSION | 18-04-2026 | Segrate (Milano) | Lombardia | Triathlon Olimpico		Gold | 
MILANOTRI - FOLLOWYOURPASSION | 18-04-2026 | Segrate (Milano) | Lombardia | Triathlon Sprint		Gold | 
MONDELLO CUP 10 | 10-05-2026 | Permo (Permo) | Sicilia | Aquathlon Kids		Giovanile | 
MONDELLO CUP 10 | 10-05-2026 | Permo (Permo) | Sicilia | Aquathlon Super Sprint		Giovanile | 
MONDELLO CUP 10 | 10-05-2026 | Permo (Permo) | Sicilia | Triathlon Sprint		Silver | 
OVERCOME EVENTS: 3° DUATHLON KIDS + GIOVANI CASTELBOILOGNESE | 12-04-2026 | Castel Bolognese (Ravenna) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile | 
OVERCOME EVENTS: 3° DUATHLON KIDS E GIOVANI CASTELBOLOGNESE | 12-04-2026 | Castel Bolognese (Ravenna) | Emilia-Romagna | Duathlon Kids		Giovanile | 
REVINE LAGO TRI | 21-06-2026 | Revine Lago (Treviso) | Veneto | Triathlon Kids		Giovanile | 
REVINE LAGO TRI | 21-06-2026 | Revine Lago (Treviso) | Veneto | Triathlon Minitriathlon		Giovanile | 
REVINE LAGO TRI | 21-06-2026 | Revine Lago (Treviso) | Veneto | Triathlon Sprint		Bronze | 
SABAUDIA DUATHLON DI CARNEVALE VII EDIZIONE | 22-02-2026 | Sabaudia (Latina) | Lazio | Duathlon Kids		Giovanile | 
SABAUDIA DUATHLON DI CARNEVALE VII EDIZIONE | 22-02-2026 | Sabaudia (Latina) | Lazio | Duathlon Sprint		Silver | 
SABAUDIA TRIATHLON OLIMPICO XIII EDIZIONE "MEMORIAL RICCARDO GIORGI E SIMONE BESCO" | 26-04-2026 | Sabaudia (Latina) | Lazio | Triathlon Olimpico		Silver | 
SANTA MARINELLA TRIATHLON SPRINT | 12-04-2026 | Santa Marinella (Roma) | Lazio | Triathlon Sprint		Silver | 
TIVAN TRI TRIATHLON SPRINT | 14-06-2026 | Gravedona ed Uniti (Como) | Lombardia | Triathlon Sprint		Silver | 
TRANI TRIATHLON OLIMPICO 8^ EDIZIONE - CAMPIONATO ITALIANO INTERFORZE | 31-05-2026 | Trani (Barletta) | Puglia | Triathlon Olimpico		Silver | 
TRIATHLON CITTA’ DI CAGLIARI - CAMPIONATO ITALIANO INTERFORZE TRIATHLON SPRINT | 16-05-2026 | Cagliari (Cagliari) | Sardegna | Triathlon Kids		Giovanile | 
TRIATHLON CITTA’ DI CAGLIARI - CAMPIONATO ITALIANO INTERFORZE TRIATHLON SPRINT | 16-05-2026 | Cagliari (Cagliari) | Sardegna | Triathlon Sprint		Silver | 
TRIATHLON CITTA’ DI CAGLIARI - CAMPIONATO ITALIANO INTERFORZE TRIATHLON SPRINT | 16-05-2026 | Cagliari (Cagliari) | Sardegna | Triathlon Youth | 
